universe,slice,method,k,s,seed,train_frac,n_pairs,nnz,explained_variance,fit_seconds,transform_seconds,metrics_seconds,dd_mean_abs,dd_median_abs,dd_p95_abs,dd_mean_rho,dd_n_pairs,nn_overlap_at_5,nn_overlap_at_5_p10,nn_overlap_at_10,nn_overlap_at_10_p10,ari_C3,ari_C5,ari_C8,ari_mean,anomaly_recall_5pct,anomaly_precision_5pct,anomaly_score_spearman,anomaly_top10_overlap,sparsity_ratio
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,6,0.7,50000,500,,0.006726166233420372,7.754098623991013e-05,0.19661620911210775,0.13066054132449423,0.11355723448237354,0.3101770271648154,0.9421917395093906,50000,0.18483754512635378,0.0,0.2377858002406739,0.1,0.2760721340174296,0.18888839831126727,0.14576121715822604,0.20357391649564094,0.6666666666666666,0.6666666666666666,0.8757145981872505,0.6,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,7,0.7,50000,500,,0.0012094173580408096,4.695914685726166e-05,0.1431986247189343,0.1301497071911914,0.11234160689014144,0.31159825972919997,0.9452734368257719,50000,0.1667870036101083,0.0,0.22539109506618532,0.1,0.36350124024868957,0.1688612180742358,0.15546116126680948,0.22927453986324497,0.7619047619047619,0.7619047619047619,0.880193148322253,0.6,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,8,0.7,50000,500,,0.001175666693598032,4.987511783838272e-05,0.17303520813584328,0.13915802224243737,0.12104957228977414,0.32940078776536874,0.9494832508799876,50000,0.18387484957882072,0.0,0.23188929001203368,0.1,0.09393456910016586,0.15694021684560946,0.18449033818364544,0.14512170804314026,0.47619047619047616,0.47619047619047616,0.8629049661573257,0.5,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,20,5.0,9,0.7,50000,500,,0.001379542052745819,7.404107600450516e-05,0.1913059582002461,0.12102405169777326,0.10296963858277125,0.2956404584863396,1.0145523634625015,50000,0.19807460890493384,0.0,0.2643802647412756,0.1,0.5732673175501131,0.3401422146551759,0.23905980138450103,0.38415644452993,0.7380952380952381,0.7380952380952381,0.9126905218764533,0.5,0.75
top_100__full_incl_covid,full_incl_covid,sparse_jl,30,1.0,0,0.7,50000,100,,0.001916833221912384,0.0002015833742916584,0.21767083322629333,0.09525689477745247,0.08051394625798192,0.23556771026041592,0.9699551704727073,50000,0.27509025270758125,0.0,0.3285198555956679,0.1,0.5073313309622085,0.2918358390542755,0.31070076955058373,0.36995597985568923,0.8095238095238095,0.8095238095238095,0.936604561818504,0.8,0.9666666666666667
top_100__full_incl_covid,full_incl_covid,sparse_jl,30,1.0,1,0.7,50000,100,,0.0014745411463081837,0.00025620777159929276,0.17394775012508035,0.10254225346451323,0.08667037762149843,0.25206367086430154,1.0279638445482306,50000,0.29915764139590856,0.0,0.3673886883273164,0.2,0.594717007519244,0.3506924874891932,0.29219582520031084,0.41253510673624927,0.8095238095238095,0.8095238095238095,0.9366747397811184,0.7,0.9666666666666667
top_100__full_incl_covid,full_incl_covid,sparse_jl,30,1.0,2,0.7,50000,100,,0.0014913748018443584,6.941612809896469e-05,0.2453827909193933,0.0970972466783815,0.08184871571988367,0.2414608066072982,0.9777462831930185,50000,0.2478941034897714,0.0,0.3115523465703971,0.1,0.5904326106097304,0.4400661859158715,0.2737281142121729,0.4347423035792583,0.8095238095238095,0.8095238095238095,0.9278594383086357,0.7,0.9666666666666667
top_100__full_incl_covid,full_incl_covid,sparse_jl,30,1.0,3,0.7,50000,100,,0.0010999171063303947,5.133356899023056e-05,0.17630091682076454,0.0982253650042475,0.08224534691338548,0.24430209922175947,1.0215934449249626,50000,0.2890493381468111,0.0,0.3571600481347773,0.2,0.6622938922273083,0.3862898333012882,0.324008558171901,0.4575307612334992,0.7619047619047619,0.7619047619047619,0.9363879218624009,0.8,0.9666666666666667
top_100__full_incl_covid,full_incl_covid,sparse_jl,30,1.0,4,0.7,50000,100,,0.00113716721534729,6.15827739238739e-05,0.27918379195034504,0.10537801685839406,0.0906624413364906,0.25279674576382727,0.9573409769826287,50000,0.26618531889290015,0.0,0.3232250300842358,0.1,0.5254016248422309,0.36085367649077754,0.2090108914511646,0.36508873092805766,0.6666666666666666,0.6666666666666666,0.9162456128317769,0.8,0.9666666666666667
top_100__full_incl_covid,full_incl_covid,sparse_jl,30,1.0,5,0.7,50000,100,,0.0010757921263575554,5.220901221036911e-05,0.19747566571459174,0.09695985637075802,0.08069566122346156,0.2439956031215381,0.9818251726658352,50000,0.25294825511432006,0.0,0.30601684717208183,0.1,0.6303289209805616,0.4131069120200776,0.3259867594857432,0.45647419749546075,0.7380952380952381,0.7380952380952381,0.9298233338798124,0.6,0.9666666666666667
